"lang"
{

	"Language"		"English"
		"DOTA_Tooltip_ability_haku_endless_wounds_lore"				""
		"DOTA_Tooltip_ability_haku_endless_wounds_description"			"Causes Haku’s attacks and abilities to inflict <b><font color='#A1DAEF'>stacks of Endless Wounds</font></b> on enemies. <br><br> Each stack of Endless Wounds causes increasing <b><font color='#A1DAEF'>Magic Damage overtime and Movement Speed Slow.</font></b>"
		"DOTA_Tooltip_ability_haku_endless_wounds_ms_slow_per_stack"			"%MS SLOW PER STACK: "
		"DOTA_Tooltip_ability_haku_endless_wounds_threshold"			"STACK THRESHOLD: "
		"DOTA_Tooltip_ability_haku_endless_wounds_duration"			"STACK DURATION: "		
		"DOTA_Tooltip_modifier_haku_endless_needles_victim"						"<b><font color='#89BBCE'>Endless Wounds</font></b>"
		"DOTA_Tooltip_modifier_haku_endless_needles_victim_description"			"This Unit is <b><font color='#89BBCE'>Slowed.</font></b>"
		"DOTA_Tooltip_modifier_haku_endless_needles_caster"						"<b><font color='#89BBCE'>Endless Wounds</font></b>"
		"DOTA_Tooltip_modifier_haku_endless_needles_caster_description"			"Haku's attacks and spells will <b><font color='#89BBCE'>Slow the enemy.</font></b>"
		"DOTA_Tooltip_modifier_haku_endless_needles_victim_counter"				"<b><font color='#89BBCE'>Endless Wounds</font></b>"
		"DOTA_Tooltip_modifier_haku_endless_needles_victim_counter_description"	"This unit is <b><font color='#89BBCE'>Slowed</font></b> by Hakus <b><font color='#89BBCE'>Attacks</font></b> and <b><font color='#89BBCE'>Abilities.</font></b>"
		


		// Demonic Ice Mirrors
		"DOTA_Tooltip_ability_haku_ice_mirrors"					"<b><font color='#9DCBF7'>Demonic Ice Mirrors</font></b>"
		"DOTA_Tooltip_ability_haku_ice_mirrors_lore"				"Makyo Hyosho"
		"DOTA_Tooltip_ability_haku_ice_mirrors_description"			"Seperates Haku into a <b><font color='#9DCBF7'>circle of Ice Mirrors</font></b>. <br><br> <b><font color='#9DCBF7'>Ice Mirrors</font></b> possess a <b><font color='#9DCBF7'>Ranged Attack</font></b> and inflict stacks of <b><font color='#89BBCE'>Endless Wounds.</font></b> <br><br> <b><font color='#9DCBF7'>Ice Mirrors</font></b> are impassable but can be <b><font color='#9784FF'>destroyed by</font></b> <b><font color='#FFFFFF'>3</font></b> <b><font color='#9784FF'>enemy attacks.</font></b> <br><br> If all <b><font color='#9DCBF7'>Ice Mirrors</font></b> are destroyed before the duration ends, <b><font color='#9784FF'>Haku will be killed.</font></b>"
		"DOTA_Tooltip_ability_haku_ice_mirrors_radius"				"RADIUS: "
		"DOTA_Tooltip_ability_haku_ice_mirrors_threshold"			"STACK THRESHOLD: "
		"DOTA_Tooltip_ability_haku_ice_mirrors_duration"			"DURATION: "
		"DOTA_Tooltip_ability_haku_ice_mirrors_mirror_attack_range"	"MIRROR ATTACK RANGE: "
		"DOTA_Tooltip_ability_haku_ice_mirrors_attack_damage"		"MIRROR ATTACK DAMAGE: "
		"DOTA_Tooltip_ability_haku_ice_mirrors_endless_wounds_stacks" "ENDLESS WOUNDS STACKS: "
		"DOTA_Tooltip_ability_haku_ice_mirrors_hp" 					"MIRROR HP: "
				
		// Chakra Burst
		"DOTA_Tooltip_ability_sakura_chakra_burst"						"Chakra Burst"
		"DOTA_Tooltip_ability_sakura_chakra_burst_description"			"By gathering chakra within her legs, Sakura is able push her speed to new heights. Once activated, Sakura's movement speed is increased to maximum for a short period of time."
		"DOTA_Tooltip_ability_sakura_chakra_burst_duration"				"DURATION: "
		"DOTA_Tooltip_modifier_sakura_chakra_burst"						"Chakra Burst"
		"DOTA_Tooltip_modifier_sakura_chakra_burst_description"			"This Unit has MAX Movement Speed."
		// Chakra Enhanced Strength
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength"				"Chakra Enhanced Strength"
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_description"	"Utilizing her excellent skills in chakra control, Sakura drastically increases the power behind her punches. Passively grants a chance to deal extra physical damage from normal attacks, while also pushing the enemy unit back a short distance."
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_bonus_damage"	"DAMAGE: "
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_distance"		"PUSH BACK DISTANCE: "
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_duration"		"PUSH BACK DURATION: "
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_chance"		"%PROC CHANCE: "


		//--------------------
		//Sai
		//--------------------
		"npc_dota_hero_sai" 						"Sai"
		"npc_dota_hero_sai_lore"  					""


		//--------------------
		//Sakura
		//--------------------
		"npc_dota_hero_sakura"  								"Sakura"
		"npc_dota_hero_sakura_lore"  							""
		
		// Earth Slam
		"DOTA_Tooltip_ability_sakura_earth_slam"						"<b><font color='#FF65E8'>Cherry Blossom Impact</font></b>"
		"DOTA_Tooltip_ability_sakura_earth_slam_description"			"Sakura slams the ground dealing <b><font color='#FF65E8'>Physical Damage and Stunning</font></b> all nearby enemies."
		"DOTA_Tooltip_ability_sakura_earth_slam_radius"					"RADIUS: "
		"DOTA_Tooltip_ability_sakura_earth_slam_stun_duration"			"STUN DURATION: "
		"DOTA_Tooltip_ability_sakura_earth_slam_stomp_damage"			"DAMAGE: "
		"DOTA_Tooltip_ability_sakura_earth_slam_cd_reduc"			    "CD REDUCTION: "
		"DOTA_Tooltip_modifier_sakura_earth_slam"						"<b><font color='#FF65E8'>Cherry Blossom Impact</font></b>"
		"DOTA_Tooltip_modifier_sakura_earth_slam_description"			"This Unit is <b><font color='#FF65E8'>Stunned.</font></b>"
		
		// Chakra Burst
		"DOTA_Tooltip_ability_sakura_chakra_burst"						"<b><font color='#0EA5FF'>Chakra Burst</font></b>"
		"DOTA_Tooltip_ability_sakura_chakra_burst_description"			"Grants Sakura <b><font color='#0EA5FF'>maximum Movement Speed</font></b> for a short duration of time."
		"DOTA_Tooltip_ability_sakura_chakra_burst_duration"				"DURATION: "
		"DOTA_Tooltip_modifier_sakura_chakra_burst"						"<b><font color='#0EA5FF'>Chakra Burst</font></b>"
		"DOTA_Tooltip_modifier_sakura_chakra_burst_description"			"This Unit has <b><font color='#0EA5FF'>Maximum Movement Speed.</font></b>"
		
		// Chakra Enhanced Strength
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength"				"<b><font color='#D98CFF'>Chakra Enchanced Strength</font></b>"
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_description"	"After <b><font color='#FFFFFF'>3</font></b> attacks, Sakura's next attack will <b><font color='#D98CFF'>Stun and deal additional Physical Damage.</font></b> <br><br> <b><font color='#D98CFF'>Deals double damage</font></b> to creeps."
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_bonus_damage"	"DAMAGE: "
		"DOTA_Tooltip_ability_sakura_chakra_enhanced_strength_stun_duration"	"STUN DURATION: "
		"DOTA_Tooltip_modifier_sakura_strength_caster"						"<b><font color='#D98CFF'>Chakra Enchanced Strength</font></b>"
		"DOTA_Tooltip_modifier_sakura_strength_caster_Description"			"After <b><font color='#FFFFFF'>3</font></b> attacks, the next attack will <b><font color='#D98CFF'>Stun</font></b> and deal <b><font color='#D98CFF'>extra Damage.</font></b>"

		// Inner Sakura
		"DOTA_Tooltip_ability_sakura_inner_sakura"						"<b><font color='#B473FF'>Strength of a Hundred Seal</font></b>"
		"DOTA_Tooltip_ability_sakura_inner_sakura_description"			"Unleashes Sakura's Chakra Seal, temporarily granting a large amount of <b><font color='#B473FF'>additional Attack Damage and Armor</font></b>."
		"DOTA_Tooltip_ability_sakura_inner_sakura_gods_strength_damage"	"%BONUS DAMAGE: "
		"DOTA_Tooltip_ability_sakura_inner_sakura_bonus_armor"			"BONUS ARMOR: "
		"DOTA_Tooltip_ability_sakura_inner_sakura_duration"				"DURATION: "
		"DOTA_Tooltip_modifier_sakura_inner_sakura"						"<b><font color='#B473FF'>Strength of a Hundred Seal</font></b>"
		"DOTA_Tooltip_modifier_sakura_inner_sakura_description"			"This Unit has increased <b><font color='#B473FF'>Attack Damage</font></b> and <b><font color='#B473FF'>Armor.</font></b>"



		//--------------------
		//Tsunade
		//--------------------
		"npc_dota_hero_legion_commander"  								"Tsunade"
		"npc_dota_hero_legion_commander_lore"  							""
		"npc_katsuyu"  													"Katsuyu"
		"npc_katsuyu_lore"  											""


		"DOTA_Tooltip_ability_tsunade_heaven_spear_kick"					"Heaven Spear Kick"
		"DOTA_Tooltip_ability_tsunade_heaven_spear_kick_description"		"Tsunade will dash into the selected point dealing damage to the 1st target she hits, stopping at the location."
		"DOTA_Tooltip_ability_tsunade_heaven_spear_kick_cast_range" "CAST RANGE: "

		"DOTA_Tooltip_ability_tsunade_heavenly_foot_of_pain"				"Heavenly Foot of Pain"
		"DOTA_Tooltip_ability_tsunade_heavenly_foot_of_pain_description"	"Tsunade jumps into the selected area dealing damage, reducing the movement speed and attack speed of the affected enemies."
		"DOTA_Tooltip_ability_tsunade_heavenly_foot_of_pain_duration" 	"DEBUFF DURATION: "
		"DOTA_Tooltip_ability_tsunade_heavenly_foot_of_pain_slow" 	"%MS/AS SLOW DEBUFF: "
		"DOTA_Tooltip_modifier_heavenly_foot_of_pain_debuff"		"Heavenly Foot of Pain"
		"DOTA_Tooltip_modifier_heavenly_foot_of_pain_debuff_description"		"This unit has decreased movement speed and attack speed."
		
		"DOTA_Tooltip_ability_tsunade_summon_katsuyu"					"Summoning Technique: Katsuyu"
		"DOTA_Tooltip_ability_tsunade_summon_katsuyu_lore"				"Kuchiyose no Jutsu: Katsuyu"
		"DOTA_Tooltip_ability_tsunade_summon_katsuyu_description"		"Tsunade will summon a medium size slug, the slug is not able to attack. Katsuyu comes with a set of abilities that help her in the battlefield. She learns 1 new skill each time player levels the katsuyu skill up."
		"DOTA_Tooltip_ability_tsunade_summon_katsuyu_duration" 			"DURATION: "

		"DOTA_Tooltip_ability_tsunade_immense_network_healing"			"Katsuyu: Immense Network Healing"
		"DOTA_Tooltip_ability_tsunade_immense_network_healing_description"		"Tsunade places a buff on her allies that heals an amount of the damage they take on that moment, it also restores an amount of the mana spent while the buff is in effect."
		"DOTA_Tooltip_ability_tsunade_immense_network_healing_manacost_per_second" "%MANA COST: "
		"DOTA_Tooltip_ability_tsunade_immense_network_healing_heal_from_damage_percentage" "%HEAL: "
		"DOTA_Tooltip_ability_tsunade_immense_network_healing_mana_restore_percentage" "%MANA RESTORE: "
		"DOTA_Tooltip_ability_tsunade_immense_network_healing_duration" "DURATION: "
		"DOTA_Tooltip_tsunade_immense_network_healing_buff"				"Immense Network Healing"
		"DOTA_Tooltip_tsunade_immense_network_healing_buff_description"	"This unit will receive an heal if it receives damage and restores mana after casting an ability."
		"DOTA_Tooltip_tsunade_immense_network_healing_buff_caster"				"Immense Network Healing"
		"DOTA_Tooltip_tsunade_immense_network_healing_buff_caster_description"	"Tsunade loses mana while casting the Immense Network Healing Jutsu."

		"DOTA_Tooltip_ability_katsuyu_tongue_tooth_sticky_acid"					"Tongue Tooth Sticky Acid"
		"DOTA_Tooltip_ability_katsuyu_tongue_tooth_sticky_acid_lore"				""
		"DOTA_Tooltip_ability_katsuyu_tongue_tooth_sticky_acid_description"		"Katsuyu spit acid along her path, dealing damage per second and reducing the attack power of the enemies inside the acid range."
		"DOTA_Tooltip_ability_katsuyu_tongue_tooth_sticky_acid_damage_per_second" 			"DAMAGE PER SECOND: "
		"DOTA_Tooltip_ability_katsuyu_tongue_tooth_sticky_acid_radius" 						"RADIUS: "
		"DOTA_Tooltip_ability_katsuyu_tongue_tooth_sticky_acid_damage_reduction_percentage" "%DAMAGE REDUCTION: "
		"DOTA_Tooltip_katsuyu_poison_debuff"				"Tongue Tooth Sticky Acid"
		"DOTA_Tooltip_katsuyu_poison_debuff_description"	"This unit receives damage per second and has decreased attack damage."

		"DOTA_Tooltip_ability_katsuyu_kuchiyose_no_jutsu"					"Kuchiyose no Jutsu"
		"DOTA_Tooltip_ability_katsuyu_kuchiyose_no_jutsu_lore"				""
		"DOTA_Tooltip_ability_katsuyu_kuchiyose_no_jutsu_description"		"Katsuyu will be forced back to Tsunade's position when this skill is activated."

		"DOTA_Tooltip_ability_katsuyu_physical_composition"					"Physical Composition"
		"DOTA_Tooltip_ability_katsuyu_physical_composition_lore"			""
		"DOTA_Tooltip_ability_katsuyu_physical_composition_description"		"Katsuyu will take reduced damage from enemies abilities and attacks."
		"DOTA_Tooltip_ability_katsuyu_physical_composition_damage_reduction_percentage"			"%DAMAGE REDUCTION"

		"DOTA_Tooltip_ability_katsuyu_slug_great_division"					"Slug Great Division"
		"DOTA_Tooltip_ability_katsuyu_slug_great_division_lore"			""
		"DOTA_Tooltip_ability_katsuyu_slug_great_division_description"		"Whenever Tsunade Katsuyu: Immense Network Healing is on the field, katsuyu will disappear increasing the healing and mana restore buff of the ability 'Immense Network Healing'."
		"DOTA_Tooltip_ability_katsuyu_slug_great_division_tsunade_ulti_buff"			"%ULTIMATE BUFF"


		//--------------------
		//Naruto
		//--------------------
		"npc_dota_hero_naruto"  									"Naruto"
		"npc_dota_hero_naruto_lore"  							""
		// Kage Bunshin Rasengan
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan"					"<b><font color='#FF860E'>Shadow Clone:</font></b> <b><font color='#00D4FF'>Rasengan</font></b>"
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_lore"			"Kage Bunshin Rasengan"
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_description"		"<b><font color='#FF860E'>Creates a Shadow Clone</font></b> holding a Rasengan that charges at a target enemy unit. <br><br> Upon reaching the enemy, the target is <b><font color='#00D4FF'>Slowed and dealt Magic Damage.</font></b>"
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_damage" 			"DAMAGE: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_slow_movement_percentage" "%MOVEMENT SPEED DEBUFF: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_slow_duration" "MOVEMENT SPEED DEBUFF DURATION: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_illusion_duration" "CLONE DURATION: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_rasengan_cd_reduc" 		"CD REDUCTION (TALENT): "
		"DOTA_Tooltip_modifier_naruto_bunshin_rasengan_slow"				"<b><font color='#FF860E'>Shadow Clone:</font></b> <b><font color='#00D4FF'>Rasengan</font></b>"
		"DOTA_Tooltip_modifier_naruto_bunshin_rasengan_slow_description"	"This Unit has decreased <b><font color='#00D4FF'>Movement Speed.</font></b>"
		"DOTA_Tooltip_modifier_imba_storm_bolt_caster_hit"					"Rasengan"
		"DOTA_Tooltip_modifier_imba_storm_bolt_caster_hit_description"		"This Clone is carrying a Rasengan."
		"DOTA_Tooltip_modifier_imba_storm_bolt_caster"						"<b><font color='#FF860E'>Charging</font></b>"
		"DOTA_Tooltip_modifier_imba_storm_bolt_caster_description"			"This Clone is <b><font color='#FF860E'>charging a target.</font></b>"


		// Kawazu Kumite
		"DOTA_Tooltip_ability_naruto_kawazu_kumite"							"<b><font color='#FD570D'>Frog Kata</font></b>"
		"DOTA_Tooltip_ability_naruto_kawazu_kumite_lore"					"Kawazu Kumite"
		"DOTA_Tooltip_ability_naruto_kawazu_kumite_description"				"Naruto dramatically <b><font color='#FD570D'>increases his Strength and Agility</font></b> for a short period of time. <br><br> Additionally, <b><font color='#FF860E'>creates a Shadow Clone</font></b> under Naruto's control on use."
		"DOTA_Tooltip_ability_naruto_kawazu_kumite_strength_bonus"			"BONUS STRENGTH: "
		"DOTA_Tooltip_ability_naruto_kawazu_kumite_agility_bonus"			"BONUS AGILITY: "
		"DOTA_Tooltip_ability_naruto_kawazu_kumite_duration"				"BUFF DURATION: "
		"DOTA_Tooltip_ability_naruto_kawazu_kumite_illusion_duration"		"CLONE DURATION: "
		"DOTA_Tooltip_modifier_naruto_kawazu_kumite"						"<b><font color='#FD570D'>Frog Kata</font></b>"
		"DOTA_Tooltip_modifier_naruto_kawazu_kumite_description"			"This Unit has increased <b><font color='#FD570D'>Agility</font></b> and <b><font color='#FD570D'>Strength.</font></b>"
		
		// Kage Bunshin Mastery
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery"					"<b><font color='#FF860E'>Shadow Clone Mastery</font></b>"
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_lore"					"Kage Bunshin Jukutatsu"
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_description"		"<b><font color='#FFFFFF'>ACTIVE</font></b> - <b><font color='#FF860E'>Swaps places with a Shadow Clone</font></b> within range of Naruto. <br><br> <b><font color='#FFFFFF'>PASSIVE</font></b> - <b><font color='#FF860E'>Improves Shadow Clones</font></b> by increasing their Outgoing Damage and decreasing their Incoming Damage."
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_max_clones"		"MAX CLONES: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_illusion_outgoing_damage_percent"		"%OUTGOING DAMAGE REDUCTION: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_illusion_incoming_damage_percent"		"%INCOMING DAMAGE: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_range"			"RANGE: "
		"DOTA_Tooltip_ability_naruto_kage_bunshin_mastery_cd_reduc"			"CD REDUCTION (TALENT): "
		
		// Futon: Rasenshuriken
		"DOTA_Tooltip_ability_naruto_rasenshuriken"							"<b><font color='#3CFEFF'>Wind Release: Rasenshuriken</font></b>"
		"DOTA_Tooltip_ability_naruto_rasenshuriken_lore"					"Fuuton: Rasenshuriken"
		"DOTA_Tooltip_ability_naruto_rasenshuriken_description"				"Throws a Rasenshuriken at the target dealing <b><font color='#3CFEFF'>Magic Damage and Stunning</font></b> nearby enemies on impact."
		"DOTA_Tooltip_modifier_storm_bolt_datadriven"						"Rasenshuriken"
		"DOTA_Tooltip_modifier_storm_bolt_datadriven_description"			"This Unit is stunned."
		"DOTA_Tooltip_ability_naruto_rasenshuriken_damage"					"DAMAGE: "
		"DOTA_Tooltip_ability_naruto_rasenshuriken_rs_stun_duration"		"STUN DURATION: "
		"DOTA_Tooltip_ability_naruto_rasenshuriken_range"					"RANGE: "

		"DOTA_Tooltip_modifier_rasenshuriken_datadriven"						"<b><font color='#3CFEFF'>Rasenshuriken</font></b>"
		"DOTA_Tooltip_modifier_rasenshuriken_datadriven_description"			"Stunned by <b><font color='#3CFEFF'>Wind Release: Rasenshuriken.</font></b>"

		"DOTA_Tooltip_ability_naruto_shadow_clone_technique"				"Shadow Clone Technique"
		"DOTA_Tooltip_ability_naruto_shadow_clone_technique_Description"	"Naruto generates Shadow Clone charges over time. Charges are used on activation, creating controllable clones of Naruto that spawn in random locations within a nearby radius. These clones deal a percentage of his damage and take additional incoming damage."

		"DOTA_Tooltip_ability_naruto_rasengan"								"Rasengan"
		"DOTA_Tooltip_ability_naruto_rasengan_Description"					"By amassing chakra into his hand, Naruto creates a Rasengan to attack his foe with. Naruto’s next attack deals additional magic damage and knocks the foe backwards. Afterwards, the enemy is slowed for a short duration."

		"DOTA_Tooltip_ability_naruto_rendan"								"Naruto Rendan"
		"DOTA_Tooltip_ability_naruto_rendan_Description"					"Grants Naruto and his clones the ability to charge an enemy unit. When used by Naruto, this ability will cause himself and all nearby clones to charge the enemy. If the original Naruto reaches the target, he will appear behind the target to deal physical damage and a knockup. If a Clone reaches the target, they will deal a small amount of damage. Clones can use this ability separately by issuing an attack on the target, costing no mana."

		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode"							"Kyuubi Chakra Mode"
		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode_Description"				"Utilizing the chakra shared with him by the Nine-Tailed Fox, Naruto enters Kyuubi Chakra Mode thus greatly increasing his combat capabilities. Grants a brief period of magic immunity, along with additional Movement Speed, Health regeneration, Mana regeneration and reduced Base Attack Time over the full duration of the transformation. Additionally, Naruto gains new powers while in this form.\n\nLevel 1 - Replaces Rasengan with Wind Release: Rasenshuriken.\nLevel 2 - Gains +20% Critical Strike (180%) and increases Naruto Rendan Speed.\nLevel 3 - Gains new ability Tailed Beast Ball."
		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode_magic_immune_duration"		"MAGIC IMMUNE DURATION:"
		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode_bonus_ms"					"BONUS MOVESPEED:"
		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode_bonus_health_regen"			"BONUS HEALTH REGEN:"
		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode_bonus_mana_regen"			"BONUS MANA REGEN:"
		"DOTA_Tooltip_ability_naruto_kyuubi_chakra_mode_base_attack_time"			"BASE ATTACK TIME:"

		"DOTA_Tooltip_modifier_kyuubi_chakra_mode_magic_immune"				"Magic Immune"
		"DOTA_Tooltip_modifier_kyuubi_chakra_mode"							"Kyuubi Chakra Form"

		"DOTA_Tooltip_ability_naruto_tailed_beast_bomb"							"Tailed Beast Bomb"
		"DOTA_Tooltip_ability_naruto_tailed_beast_bomb_Description"				"Amassing a massive amount of chakra with the help of Kurama, Naruto fires a large ball of pure energy that deals magic damage in a line. A fixed amount of magic damage is dealt to all enemies caught in the attack, plus additional damage based on a multiplier of Naruto’s Strength. Deals 10% less damage per hero hit."
		"DOTA_Tooltip_ability_naruto_tailed_beast_bomb_Note0"					"Naruto will lose the effects of Kyuubi Chakra Mode after using this ability."

		//--------------------
		//Itachi
		//--------------------
		"npc_dota_hero_itachi"  										"Itachi"
		"npc_dota_hero_itachi_lore"  									""
		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu"				"<b><font color='#B5B5B5'>Dust Crow Genjutsu</font></b>"
		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu_cd_reduc"		"CD REDUCTION (TALENT): "
		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu_description"	"<b><font color='#B5B5B5'>Itachi instantly teleports</font></b> to the target point. <br><br> <b><font color='#B5B5B5'>A clone is placed</font></b> at his original location after teleporting, dealing reduced <b>Outgoing Damage</b>."

		"DOTA_Tooltip_ability_itachi_tsukiyomi"							"<b><font color='#9C352C'>Tsukuyomi</font></b>"
		"DOTA_Tooltip_ability_itachi_tsukiyomi_description"				"<b><font color='#9C352C'>Stuns and deals Magic Damage</font></b> to the target enemy unit. <br><br> The enemy will have their <b><font color='#9C352C'>Movement Speed Slowed for a short period</font></b> after the Stun duration."

		"DOTA_Tooltip_modifier_itachi_slow"						"<b><font color='#9C352C'>Tsukuyomi</font></b>"
		"DOTA_Tooltip_modifier_itachi_slow_description"			"This Unit has decreased <b><font color='#9C352C'>Movement Speed.</font></b>"		

		"DOTA_Tooltip_ability_itachi_sharingan"							"<b><font color='#E21C30'>Mangekyo Sharingan</font></b>"
		"DOTA_Tooltip_ability_itachi_sharingan_description"				"Gives Itachi a chance to <b>Critical Strike</b> dealing bonus <b><font color='#E21C30'>Magic Damage based on his Attack Damage.</font></b> <br><br> Triggering this attack will also <b><font color='#E21C30'>reduce the target's Magic Resistance</font></b> for a short period of time."

		"DOTA_Tooltip_modifier_itachi_sharingan_mr_reduce"						"<b><font color='#E21C30'>Mangekyo Sharingan</font></b>"
		"DOTA_Tooltip_modifier_itachi_sharingan_mr_reduce_description"			"This Unit has decreased <b><font color='#E21C30'>Magic Resistance.</font></b>"	


		"DOTA_Tooltip_ability_itachi_amateratsu"						"<b><font color='#9A86AC'>Amaterasu</font></b>"
		"DOTA_Tooltip_ability_itachi_amateratsu_description"			"Ignites a target enemy dealing <b><font color='#9A86AC'>a large amount of Magic Damage over time.</font></b> <br><br> <b><font color='#B5B5B5'>The flame will spread</font></b> if an affected enemy comes close to their allies."

		"DOTA_Tooltip_modifier_itachi_amateratsu"						"<b><font color='#9A86AC'>Amaterasu</font></b>"
		"DOTA_Tooltip_modifier_itachi_amateratsu_description"			"This Unit is taking <b><font color='#9A86AC'>Damage over time</font></b> and will <b><font color='#9A86AC'>spread the fire</font></b> to nearby Allies."	


		"DOTA_Tooltip_ability_itachi_tsukiyomi_damage"					"DAMAGE: "
		"DOTA_Tooltip_ability_itachi_tsukiyomi_slow_percent"			"%MOVEMENT SLOW: "
		"DOTA_Tooltip_ability_itachi_tsukiyomi_slow_duration"			"MOVEMENT SLOW DURATION: "
		"DOTA_Tooltip_ability_itachi_tsukiyomi_duration"			"STUN DURATION: "
		"DOTA_Tooltip_ability_itachi_tsukiyomi_cd_reduc"				"CD REDUCTION (TALENT): "

		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu_blink_range"			"RANGE: "
		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu_illusion_duration"		"BUNSHIN DURATION: "
		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu_illusion_outgoing_damage"	"%CLONE OUTGOING DAMAGE:"
		"DOTA_Tooltip_ability_itachi_dust_crow_genjustsu_illusion_incoming_damage"	"%CLONE INCOMING DAMAGE:"


		"DOTA_Tooltip_ability_itachi_sharingan_chance"			"%CRITICAL CHANCE: "
		"DOTA_Tooltip_ability_itachi_sharingan_crit_bonus"			"%CRITICAL DAMAGE: "
		"DOTA_Tooltip_ability_itachi_sharingan_duration"		"DEBUFF DURATION: "
		"DOTA_Tooltip_ability_itachi_sharingan_mr_reduction"	"MAGIC RESISTANCE REDUCTION: "



		"DOTA_Tooltip_ability_itachi_amateratsu_damage_factor"			"DAMAGE FACTOR: "
		"DOTA_Tooltip_ability_itachi_amateratsu_damage"					"DAMAGE PER SECOND: "
		"DOTA_Tooltip_ability_itachi_amateratsu_duration"				"DURATION: "
		"DOTA_Tooltip_ability_itachi_amateratsu_spread_aoe"				"SPREAD RADIUS: "

		//--------------------
		//Sasuke
		//--------------------
		"npc_dota_hero_sasuke"  									"Sasuke"
		"npc_dota_hero_sasuke_lore"								""



		// Chidori 
		"DOTA_Tooltip_ability_sasuke_chidori"					"<b><font color='#36B4EE'>Chidori</font></b>"
		"DOTA_Tooltip_ability_sasuke_chidori_description"		"<b><font color='#36B4EE'>Dashes towards a target point</font></b> at instant speed, dealing <b>Magic Damage</b> to all enemies caught in his path and briefly rooting them. <br><br> Additional <b>Magic Damage</b> is dealt <b><font color='#36B4EE'>based on Sasuke's Attack Damage</font></b>."

		"DOTA_Tooltip_ability_sasuke_chidori_root_duration"					"ROOT DURATION: "
		"DOTA_Tooltip_ability_sasuke_chidori_max_distance"					"MAX DISTANCE: "
		"DOTA_Tooltip_ability_sasuke_chidori_bonus_damage"					"%BONUS DAMAGE: "


		//Chidori Stream
		"DOTA_Tooltip_ability_sasuke_chidori_stream"					"<b><font color='#61B1FF'>Chidori Stream</font></b>"
		"DOTA_Tooltip_ability_sasuke_chidori_stream_lore"					"Chidori Nagashi"
		"DOTA_Tooltip_ability_sasuke_chidori_stream_description"		"An electrical current is discharged around Sasuke <b><font color='#61B1FF'>dealing Magic Damage and Stunning</font></b> all enemies within the radius."
		"DOTA_Tooltip_ability_sasuke_chidori_stream_radius"			"RADIUS: "
		"DOTA_Tooltip_ability_sasuke_chidori_stream_aoe_damage"			"DAMAGE: "
		"DOTA_Tooltip_ability_sasuke_chidori_stream_stun_duration"			"STUN DURATION: "
		

		// Chidori Light Sword
		"DOTA_Tooltip_ability_sasuke_chidori_light_sword"					"<b><font color='#A5E3FF'>Chidori Light Sword</font></b>"
		"DOTA_Tooltip_ability_sasuke_chidori_light_sword_lore"					""
